uuid,task_type,question_type,query,question,options,answer,exp,other,source,medical competencies,medical disciplines,disease,symptom,procedure,equipment,drug,item,body,microbes,department,disease taboos,disease advices,level
d9bba973-b6d1-4426-9b18-eaada9f76f0f,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
下列哪项是医师在执业活动中享有的权利?（　　）
请从以下选项中选择一个答案：
A.爱岗敬业，努力工作
B.尊重患者隐私权
C.人格尊严、人身安全不受侵犯
D.努力钻研业务，及时更新知识
E.宣传普及卫生保健知识

请注意，请你先给出正确答案，再给出你的解释。",下列哪项是医师在执业活动中享有的权利?（　　）,"['A.爱岗敬业，努力工作', 'B.尊重患者隐私权', 'C.人格尊严、人身安全不受侵犯', 'D.努力钻研业务，及时更新知识', 'E.宣传普及卫生保健知识']",C,,医学伦理学,MedQA,,,,,,,,,,,,,,
81a244f8-9522-46e1-be7b-94117e0e0f1b,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
我国卫生部规定，一名供精者的精子最多只能提供给（　　）。
请从以下选项中选择一个答案：
A.8名妇女受孕
B.6名妇女受孕
C.10名妇女受孕
D.5名妇女受孕
E.15名妇女受孕

请注意，请你先给出正确答案，再给出你的解释。",我国卫生部规定，一名供精者的精子最多只能提供给（　　）。,"['A.8名妇女受孕', 'B.6名妇女受孕', 'C.10名妇女受孕', 'D.5名妇女受孕', 'E.15名妇女受孕']",D,,医学伦理学,MedQA,,['公卫卫生与预防医学'],,,,,,,,,,,,
f628948e-a5ec-49da-ad60-06eebf59591a,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
哪项符合现代医学模式?（　　）
请从以下选项中选择一个答案：
A.生物—心理—社会医学模式
B.分子医学模式
C.高新技术医学模式
D.生物医学模式
E.整体医学模式

请注意，请你先给出正确答案，再给出你的解释。",哪项符合现代医学模式?（　　）,"['A.生物—心理—社会医学模式', 'B.分子医学模式', 'C.高新技术医学模式', 'D.生物医学模式', 'E.整体医学模式']",A,,医学伦理学,MedQA,['医学基础知识'],['基础医学'],,,,,,,,,,,,
4984e0da-44e5-47fc-b423-d2028ae28825,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
患者不能拒绝下列哪项?（　　）
请从以下选项中选择一个答案：
A.实验
B.治疗
C.手术
D.公开病情
E.遵守医院制度

请注意，请你先给出正确答案，再给出你的解释。",患者不能拒绝下列哪项?（　　）,"['A.实验', 'B.治疗', 'C.手术', 'D.公开病情', 'E.遵守医院制度']",E,,医学伦理学,MedQA,"['医学基础知识', '公卫法律伦理']","['基础医学', '临床医学']",,,,,,,,,,,,
241bc019-9662-48e3-adbd-7b26a37a5a32,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
确切地说，下列哪项不是正确处理医务人员之间关系的意义?（　　）
请从以下选项中选择一个答案：
A.有利于社会进步
B.有利于建立和谐的医患关系
C.有利于医院集体力量的发挥
D.有利于医学事业发展
E.有利于医务人员成才

请注意，请你先给出正确答案，再给出你的解释。",确切地说，下列哪项不是正确处理医务人员之间关系的意义?（　　）,"['A.有利于社会进步', 'B.有利于建立和谐的医患关系', 'C.有利于医院集体力量的发挥', 'D.有利于医学事业发展', 'E.有利于医务人员成才']",A,,医学伦理学,MedQA,,,,,,,,,,,,,,
bd68ebc9-8e69-4f7b-b25b-63393effe079,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
不符合医德良心的说法的是（　　）。
请从以下选项中选择一个答案：
A.医德良心是一种强烈的道德责任感
B.医德良心是对道德责任的自觉认识
C.医德良心是一种自我评价能力
D.医德良心是对道德情感的深化
E.医德良心因其不可见而很难确定其对行为的作用

请注意，请你先给出正确答案，再给出你的解释。",不符合医德良心的说法的是（　　）。,"['A.医德良心是一种强烈的道德责任感', 'B.医德良心是对道德责任的自觉认识', 'C.医德良心是一种自我评价能力', 'D.医德良心是对道德情感的深化', 'E.医德良心因其不可见而很难确定其对行为的作用']",E,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
ba73e384-8b57-44dd-ac9f-da7c73729a3a,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
描述医德规范有误的是（　　）。
请从以下选项中选择一个答案：
A.医德规范是医德基本原则的具体体现
B.医德规范是医务人员的行为标准
C.医德规范是判断医德行为的善恶标准
D.医德规范是圣人贤哲头脑中的“良知良能”
E.医德规范是种种社会规范的一种特殊规范

请注意，请你先给出正确答案，再给出你的解释。",描述医德规范有误的是（　　）。,"['A.医德规范是医德基本原则的具体体现', 'B.医德规范是医务人员的行为标准', 'C.医德规范是判断医德行为的善恶标准', 'D.医德规范是圣人贤哲头脑中的“良知良能”', 'E.医德规范是种种社会规范的一种特殊规范']",D,,医学伦理学,MedQA,公卫法律伦理,,,,,,,,,,,,,
fce9bc23-3dab-4063-a1a8-e45bd8310144,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
下列哪项是医学伦理学中最古老、最有生命力的医德范畴？（　　）
请从以下选项中选择一个答案：
A.医疗保密
B.医疗荣誉
C.医疗权利
D.医疗公正
E.医疗义务

请注意，请你先给出正确答案，再给出你的解释。",下列哪项是医学伦理学中最古老、最有生命力的医德范畴？（　　）,"['A.医疗保密', 'B.医疗荣誉', 'C.医疗权利', 'D.医疗公正', 'E.医疗义务']",A,,医学伦理学,MedQA,['公卫法律伦理'],['公卫卫生与预防医学'],,,,,,,,,,,,
8a558585-309d-4947-a029-a512f5765883,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
对病人的道德权利表述无误的是（　　）。
请从以下选项中选择一个答案：
A.病人被免除社会责任的权利是随意的
B.病人都有要求开假休息的权利
C.医师在任何情况下都不能超越病人要求保密的权利
D.病人都享有稀有卫生资源分配的权利
E.知情同意是病人自主权的具体形式

请注意，请你先给出正确答案，再给出你的解释。",对病人的道德权利表述无误的是（　　）。,"['A.病人被免除社会责任的权利是随意的', 'B.病人都有要求开假休息的权利', 'C.医师在任何情况下都不能超越病人要求保密的权利', 'D.病人都享有稀有卫生资源分配的权利', 'E.知情同意是病人自主权的具体形式']",E,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
fae8c6f4-1934-4a69-92d6-f28198d762ea,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
不符合医德评价方式的是（　　）。
请从以下选项中选择一个答案：
A.内心信念
B.正式社会舆论
C.传统习俗
D.非正式社会舆论
E.卫生行政仲裁

请注意，请你先给出正确答案，再给出你的解释。",不符合医德评价方式的是（　　）。,"['A.内心信念', 'B.正式社会舆论', 'C.传统习俗', 'D.非正式社会舆论', 'E.卫生行政仲裁']",E,,医学伦理学,MedQA,['公卫法律伦理'],['公卫卫生与预防医学'],,,,,,,,,,,,
